id,name,raceName,superRaceName,levelMin,levelMax,isBoss,isMiniBoss,correspondingMiniBossId,isQuestMonster,canTackle,aggressiveZoneSize,speedAdjust
31,Larve Bleue,Larves,Créatures d'Astrub,16,20,False,False,2574,False,False,3,-1
34,Larve Verte,Larves,Créatures d'Astrub,16,20,False,False,2332,False,False,3,-1
36,Bouftou,Invocations de monstre,Créatures invoquées,1,6,False,False,0,False,False,3,2
42,La Surpuissante,Invocations de monstre,Créatures invoquées,1,1,False,False,0,False,False,3,0
46,Larve Orange,Larves,Créatures d'Astrub,16,20,False,False,2331,False,False,3,-1
47,Abraknyde,Abraknydiens,Créatures d'Amakna,38,50,False,False,2309,False,False,3,0
48,Tournesol Sauvage,Plantes des champs,Créatures d'Astrub,16,20,False,False,2358,False,False,3,2
52,Arakne,Vermines des champs,Créatures d'Amakna,16,20,False,False,2310,False,False,3,4
53,Bwork Mage,Bworks d'Amakna,Créatures d'Amakna,42,50,False,False,2418,False,False,3,0
54,Chafer,Chafers,Créatures des cimetières,32,40,False,False,2319,False,False,3,0
55,Gelée Bleuet,Gelées,Créatures des Dimensions,54,62,False,False,2487,False,False,3,0
56,Gelée Menthe,Gelées,Créatures des Dimensions,54,62,False,False,2371,False,False,3,0
57,Gelée Fraise,Gelées,Créatures des Dimensions,54,62,False,False,2376,False,False,3,0
58,Gelée Royale Bleuet,Gelées,Créatures des Dimensions,60,60,False,False,0,False,False,3,0
59,Champ Champ,Vermines des champs,Créatures d'Amakna,16,20,False,False,2323,False,False,3,0
61,Moskito,Vermines des champs,Créatures d'Amakna,16,20,False,False,2336,False,False,3,1
62,Gob-trotteur,Gobelins d'Amakna,Créatures d'Amakna,32,40,False,False,2430,False,False,3,0
63,Crabe,Monstres des plages,Créatures de Sufokia,42,50,False,False,2327,False,False,3,0
64,Wabbit,Wabbits,Créatures de l'île des Wabbits,44,52,False,False,2304,False,False,3,0
65,Black Wabbit,Wabbits,Créatures de l'île des Wabbits,46,54,False,False,2403,False,False,3,0
68,Black Tiwabbit,Wabbits,Créatures de l'île des Wabbits,42,50,False,False,2402,False,False,3,0
72,Tiwabbit Kiafin,Wabbits,Créatures de l'île des Wabbits,40,48,False,False,2294,False,False,3,0
74,Bwork Archer,Bworks d'Amakna,Créatures d'Amakna,37,48,False,False,2417,False,False,3,0
